"SampleID","leaf_code","tree","cohort","leaf","obs_date","date","Vcmax_Estimate","Jmax_Estimate","Rd_Estimate","Vcmax_Std. Error","Jmax_Std. Error","Rd_Std. Error","RMSE","Vcmax_QC","Jmax_QC","Vcmax_Estimate_tpu","Jmax_Estimate_tpu","Rd_Estimate_tpu","TPU_Estimate","Vcmax_Std.Error_tpu","Jmax_Std.Error_tpu","Rd_Std.Error_tpu","TPU_Std.Error","RMSE_tpu","TPU_improved_vcmax","TPU_improved_rmse","TPU_created_spuriousjmax","TPU_improved_both","useTPU","Vcmax_Estimate_final","Jmax_Estimate_final","Rd_Estimate_final","TPU_Estimate_final","Vcmax_Std.Error_final","Jmax_Std.Error_final","Rd_Std.Error_final","TPU_Std.Error_final","RMSE_final"
"19.2.2_20221130","19.2.2","19","2","2","20221130",2022-11-30,37.1217490505563,111.829594254356,0.235448104175029,0.565291485343239,NA,0.0821727803455,7.83178369997249,"good","good",36.9286503647301,115.739248927852,0.201496852458246,8.32001546453047,0.509927627502529,NA,0.079780773105434,NA,6.63257810354489,1,1,0,2,2,36.9286503647301,115.739248927852,0.201496852458246,8.32001546453047,0.509927627502529,NA,0.079780773105434,NA,6.63257810354489
"2.1.1_20221008","2.1.1","2","1","1","20221008",2022-10-08,62.1265477726084,184.109724511442,4.97672422000766,1.29407932648336,NA,0.192287513888937,13.4974744633128,"good","good",62.1265477726084,184.109724511442,4.97672422000766,NA,1.29407932648336,NA,0.192287513888937,NA,13.4974744633128,0,0,0,0,0,62.1265477726084,184.109724511442,4.97672422000766,NA,1.29407932648336,NA,0.192287513888937,NA,13.4974744633128
"2.1.1_20221128","2.1.1","2","1","1","20221128",2022-11-28,43.5370819214701,209.070310616829,1.24232042461233,1.04880307988239,NA,0.17370326620867,24.3780731518946,"good","good",43.5370819214701,209.070310616829,1.24232042461233,NA,1.04880307988239,NA,0.17370326620867,NA,24.3780731518946,0,0,0,0,0,43.5370819214701,209.070310616829,1.24232042461233,NA,1.04880307988239,NA,0.17370326620867,NA,24.3780731518946
"2.1.2_20220627","2.1.2","2","1","2","20220627",2022-06-27,24.7657924141455,60.5014788887127,-0.148156368385981,0.353727932722843,NA,0.0648778835722376,4.84564534305949,"good","good",24.7657924141455,60.5014788887127,-0.148156368385981,NA,0.353727932722843,NA,0.0648778835722376,NA,4.84564534305949,0,0,0,0,0,24.7657924141455,60.5014788887127,-0.148156368385981,NA,0.353727932722843,NA,0.0648778835722376,NA,4.84564534305949
"2.1.2_20220725","2.1.2","2","1","2","20220725",2022-07-25,18.7862298479422,68.1327998528294,0.728568768488917,0.615778502544568,NA,0.11106208238282,9.51640552066832,"good","good",18.7862298479422,68.1327998528294,0.728568768488917,NA,0.615778502544568,NA,0.11106208238282,NA,9.51640552066832,0,0,0,0,0,18.7862298479422,68.1327998528294,0.728568768488917,NA,0.615778502544568,NA,0.11106208238282,NA,9.51640552066832
"2.1.2_20221128","2.1.2","2","1","2","20221128",2022-11-28,60.3678583751311,218.950296234725,-3.52844017860853,1.00246508718035,NA,0.130723008558496,10.2317889350943,"good","good",60.3678583751311,218.963834647199,-3.52844017860853,13.9785239069568,1.00246508718035,NA,0.130723008558496,NA,10.2297606083063,0,1,0,1,1,60.3678583751311,218.963834647199,-3.52844017860853,13.9785239069568,1.00246508718035,NA,0.130723008558496,NA,10.2297606083063
"20.1.1_20230117","20.1.1","20","1","1","20230117",2023-01-17,23.3574570522301,60.3239593404108,0.35017592677854,0.305983591537862,NA,0.0414450806406113,4.19809686470764,"good","good",23.3381025189385,60.5059362900875,0.347228926834004,4.9051440446926,0.299212966919831,NA,0.0411233060649624,NA,4.13808317330815,1,1,0,2,2,23.3381025189385,60.5059362900875,0.347228926834004,4.9051440446926,0.299212966919831,NA,0.0411233060649624,NA,4.13808317330815
"20.1.2_20221010","20.1.2","20","1","2","20221010",2022-10-10,12.5082147078359,33.0186390451788,0.998449018895889,0.786745666482178,NA,0.0834717416661288,7.0920461340264,"good","good",12.5967410233726,36.7754014896945,1.01038463746586,2.54829566773878,0.655442930923146,NA,0.0799983706197155,NA,6.62218208757068,1,1,0,2,2,12.5967410233726,36.7754014896945,1.01038463746586,2.54829566773878,0.655442930923146,NA,0.0799983706197155,NA,6.62218208757068
"20.1.2_20230117","20.1.2","20","1","2","20230117",2023-01-17,14.4761844778335,42.0949864416097,-0.803137761066625,0.576672481141665,NA,0.0838200192210317,11.0129414630992,"good","good",14.4761844778335,42.0949864416097,-0.803137761066625,NA,0.576672481141665,NA,0.0838200192210317,NA,11.0129414630992,0,0,0,0,0,14.4761844778335,42.0949864416097,-0.803137761066625,NA,0.576672481141665,NA,0.0838200192210317,NA,11.0129414630992
"20.1.3_20221010","20.1.3","20","1","3","20221010",2022-10-10,13.0786368928192,35.2937282095693,1.34737046248117,0.871991511822925,NA,0.10891407328483,10.1238884330313,"good","good",13.4855241833557,796155.106768653,1.41965960273518,2.75577172040732,0.766496787984301,NA,0.104824613756829,NA,7.96291951456531,1,1,1,2,0,13.0786368928192,35.2937282095693,1.34737046248117,NA,0.871991511822925,NA,0.10891407328483,NA,10.1238884330313
